RainTomorrow,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
Yes,13.8,16.9,1.4,4.6,0.5,SE,26,SE,SSE,13,13,92,82,1024.3,1024.2,8,8,13.9,16.4,Yes
Yes,20.2,25.9,2,0.8,0,WSW,35,WSW,SSW,22,24,81,73,1014.2,1012.5,8,8,22.3,25.5,Yes
No,19.4,25.4,0,8,11.7,ENE,41,E,ENE,26,24,65,62,1022.2,1021.1,3,3,22.7,22.9,No
No,20.5,29.5,0,7.6,10.4,ESE,44,NE,ESE,17,31,64,62,1023,1021.7,1,4,25.5,27.7,No
Yes,12.1,17.1,2,4,9.1,WSW,44,SW,SSW,20,17,62,67,1019,1018.3,2,7,15.4,15.6,Yes
No,21.8,26.4,21,3.4,8.6,WNW,39,WNW,WNW,20,22,79,74,1003.7,1002.9,7,7,24.9,25.5,Yes
No,6.5,25.9,0,7.8,9.9,WNW,31,WNW,W,17,15,33,14,1017.2,1012.8,0,1,16.9,25.8,No
Yes,18.1,21.8,12,10.8,0,WSW,59,NE,SW,7,17,100,87,1011.5,1010.1,7,8,18.8,20.6,Yes
Yes,23.8,31.1,17.6,2.2,4,SSW,41,SSE,NE,9,17,76,69,1007,1003.4,6,6,27.2,30.3,Yes
No,14.1,24.8,12.8,1.2,9.2,SW,26,WSW,SE,11,13,74,52,1014.4,1011.9,4,7,21.1,24.1,Yes
No,22.8,32.8,0,8.6,8.9,NE,74,N,NE,20,50,67,49,1008.8,1000.7,8,1,25.4,32.3,No
No,20.9,28.2,0,9.2,11.1,E,41,SSE,SSE,17,24,78,69,1016.3,1016.2,1,6,23.5,26.9,No
Yes,6.8,14.8,2,2.6,6.6,SW,48,W,SSW,20,30,75,66,1020.2,1021.3,4,7,11.2,12.3,Yes
Yes,12.7,28.2,0,5.6,1.5,WNW,52,N,W,19,28,44,78,1001.2,1004.7,7,8,25.1,18.6,No
Yes,10.4,24.6,0,4.6,3.7,SW,39,S,SW,20,24,67,65,1007.6,1004.6,3,7,20.2,22.1,No
Yes,24.5,29.7,0,6.2,2.4,E,37,E,NE,20,17,85,73,1014.8,1012.1,7,7,26.2,28.4,No
Yes,8.2,14.5,27.4,3,3.1,SSW,57,S,WSW,19,11,74,88,1007.9,1008.8,6,7,10.6,8.4,Yes
Yes,22.9,32.8,5.8,7.4,4.4,N,57,N,NNW,13,9,96,61,1012.1,1007.4,8,5,23.4,32,Yes
Yes,24,31,0.8,6.4,10.1,NNE,24,SE,N,9,17,68,76,1009.7,1007.3,7,6,29.8,29.8,No
Yes,23.2,28.8,54,5.4,1,ESE,43,SSE,SSE,22,20,86,89,1013.2,1010.4,7,7,25.9,26.2,Yes
Yes,20,28.3,0,8.8,5.3,E,22,WNW,NE,6,9,61,60,1013.8,1009.9,7,3,24.5,27.2,No
No,9.3,19.5,0,1,5.1,W,22,W,E,19,9,84,54,1033.4,1030,7,6,11,17.8,No
Yes,9,15.8,5.6,0.4,4.3,WNW,22,ENE,WSW,7,9,96,86,1022.8,1020.6,7,6,10.7,13.2,Yes
No,3.6,16.6,0,0.8,8.2,WNW,26,WNW,W,6,15,80,52,1027,1025.1,2,6,9.3,15.9,No
Yes,25.8,33.4,0.6,4.6,6.7,W,41,S,SSW,7,19,72,76,1007.4,1005,7,7,29.9,29.4,No
No,5.2,20.6,0,9,11.1,WNW,48,WNW,WNW,26,30,39,26,1018.8,1014.7,0,0,13.9,19.8,No
No,12.3,22.5,0.8,2,5.9,NW,35,NW,WSW,13,13,79,43,1017.1,1014.7,7,3,15.9,22.1,No
No,18.5,32.1,0,9,13.6,ENE,35,NNE,ESE,24,7,56,30,1017.3,1013.8,0,2,22.1,30.6,No
Yes,6.3,19.4,0,4.2,0.1,N,44,NE,NNE,22,30,54,37,1014.8,1009.3,8,8,10.8,18.8,No
Yes,14.1,18.1,0,6.6,0,W,28,W,NNW,13,9,58,87,1012.4,1005.8,8,8,15.4,15.3,No
No,11.8,22.2,1.8,2.8,5.7,NE,44,NE,SE,19,17,76,58,1017.8,1013.7,7,7,14.2,21.3,Yes
No,9.8,25.5,0,9,10.1,NE,35,NE,ENE,20,11,46,27,1021.5,1015.6,0,4,16.9,25.1,No
Yes,24.5,32.4,0,4.2,7.6,NE,37,E,ESE,11,15,75,94,1010.7,1007.8,7,7,28.1,26.8,No
No,14.9,17.1,0,4,7.6,SW,63,SSW,SSE,31,15,51,68,1019.7,1020.2,3,7,15.9,14.8,No
No,1.5,19.8,0,2.8,9.1,ESE,30,WNW,ESE,11,20,81,54,1027.8,1023.1,1,1,12,18.3,No
Yes,11.2,18.7,5.6,0.4,2.3,S,35,NNE,WSW,6,11,98,89,1020.1,1017.8,7,7,14.2,17.5,Yes
Yes,5.9,12.8,6.6,3.4,0.5,WSW,52,NNW,WSW,13,24,90,76,1013.2,1013.6,8,7,8.6,11,Yes
No,16,26,0,11.8,3.5,E,41,ESE,NNE,17,20,34,28,1021.4,1017.3,7,7,18.2,24.9,No
No,20.2,23.9,0,6.4,5.6,E,43,E,ESE,30,24,73,78,1019,1017.9,3,7,22.9,22.3,No
No,14.3,26.2,0,8,12.6,NNE,50,NW,NE,13,33,51,37,1019.2,1015.6,0,2,21.1,25.5,No
Yes,10.1,20.4,3.8,1.6,6.1,SSW,43,NE,SW,7,17,93,65,1019.8,1017.3,4,3,13.6,18.7,Yes
No,13.9,19.4,0,7,7.4,SW,35,E,SSW,7,17,48,49,1025,1023.2,7,3,17.4,18.5,No
Yes,10.2,17.1,24,1.8,6.7,SW,44,SW,WSW,19,13,76,54,1013.8,1014.8,6,3,13.2,15.9,Yes
No,11.4,23.2,0,1.4,9.4,NNE,41,NNE,NNE,6,31,72,70,1026.1,1022.7,1,2,18.6,20.1,No
Yes,14.9,17.6,28.4,4,0.4,SSW,39,W,SSW,17,17,97,90,1025.6,1023.9,8,7,15.1,17.1,Yes
No,14.2,18.9,1.4,7.4,9.3,SSW,46,SW,SW,20,24,55,62,1019.3,1018.2,1,2,16.6,18,Yes
No,15.8,28.9,0,10,11,NE,63,N,NE,24,39,29,34,1014.5,1008.2,0,1,22.7,26.6,No
No,7.1,22.7,0,2.2,9,ENE,28,NE,ENE,7,19,80,46,1022.1,1019.8,1,3,13,21.7,No
Yes,19.4,27.8,0,1.6,1.7,NE,33,E,ENE,17,20,77,70,1009.3,1006.8,7,8,24.5,26.7,No
Yes,12.2,19.6,0,2.6,1.7,SSW,37,NNW,SSE,15,17,75,73,1026.9,1024.4,7,7,15,18.5,No
No,9.5,21.8,0,5,10.5,W,37,NW,W,11,22,44,25,1014.6,1011,1,1,14.9,20,No
Yes,4.4,14.7,0.4,2.2,8,NNW,35,NNW,NW,19,24,61,41,1021.8,1018.9,2,6,6.8,14,No
No,12.7,24.2,0.6,4.4,8.2,ESE,41,E,E,7,20,87,64,1021.7,1018.2,6,4,19.9,23.1,No
No,10.5,18.2,0,5.8,6.2,S,54,SSW,SE,26,24,62,64,1026.1,1024.2,2,6,16.7,17.6,No
No,21.3,36.8,0,10.8,12.4,SSE,33,NNE,NE,24,9,54,26,1013.6,1009.1,1,5,25.4,34.6,No
No,17.7,23,0,6.6,10,WNW,41,WNW,WNW,24,24,73,71,1015.7,1013.5,6,3,20.8,22,No
Yes,9.6,13,6,0.4,0.6,WSW,24,W,W,11,13,97,76,1007.7,1007.1,8,7,10.3,12.3,Yes
No,13.9,31.1,0,7.8,12.2,N,30,ENE,NNE,15,13,61,33,1024,1019.7,0,1,20.1,30.2,No
No,17.9,26.5,0,4,7.8,S,31,SSE,E,17,22,63,46,1008.6,1004.3,3,6,22.2,25.8,No
Yes,16.2,21.8,0,1.4,0,NW,22,NW,NNE,11,6,82,71,1018.4,1013.7,7,7,18.5,21.6,No
No,11.8,24.6,0,2.6,6.8,E,30,ESE,NW,7,20,88,42,1026.9,1024,6,5,14.9,24.2,No
No,5.9,22.5,0.2,3,10.5,ENE,22,NW,SE,6,6,86,31,1022.8,1021.3,1,1,10.6,20.6,No
No,13.6,20.6,0,3.6,9.1,NNW,28,N,SE,7,9,61,64,1015.2,1013.3,7,3,17.7,19.8,No
No,23.7,33.6,0,10.6,4.4,S,70,NNW,S,13,37,51,84,1010.2,1012.4,6,7,29,23.8,No
No,12.4,25.8,0,4,7.9,W,20,WNW,W,17,11,67,32,1018.7,1014.9,7,7,15.8,24.4,No
Yes,6.4,13.2,9.6,0.8,5.4,SSW,43,W,SSW,9,24,99,73,1022.5,1024.3,7,7,8.1,11.5,Yes
No,16.8,38.3,0,9.6,11.5,NW,44,E,WSW,13,20,42,12,1018.8,1015.3,3,4,25.1,37.1,No
No,19.6,24.7,0,6.8,9.6,ESE,48,ESE,SE,28,28,65,55,1016.3,1014.8,4,3,22.2,23.7,No
Yes,7.2,13.2,10,2.6,2.3,S,50,SSW,WSW,15,20,91,82,1009.5,1011.5,6,7,9.4,12.1,Yes
No,16.4,33.5,0,9.8,10.5,ENE,52,NNE,ENE,15,37,36,51,1013.4,1009.3,1,6,28.4,30.1,No
Yes,22.8,29,15.2,3.8,5.5,SE,44,SSE,SSE,20,17,85,83,1012.5,1010.4,7,7,25.4,26.5,Yes
No,18.4,24.3,0,8.6,9.4,NE,52,ENE,NE,26,30,63,59,1022.9,1021.8,8,5,21.3,22.6,No
No,14,29,0,4,10.1,NE,48,NNW,NE,26,28,49,52,1013.4,1007.1,5,2,22.5,24.8,No
No,22,26,1,1,4.6,NE,37,NE,ENE,22,24,80,80,1008.5,1008.2,6,7,24.1,24.9,No
No,12.1,21.4,15,1.8,8.4,NW,26,WNW,NNW,4,6,78,63,1005.3,1001.6,1,5,17.7,21.1,Yes
Yes,16,19.1,0,10.8,12.2,S,54,S,S,39,30,53,53,1015.3,1015.7,2,1,16.6,17.7,No
Yes,22.8,38.4,0,5.2,7.1,W,63,NW,WSW,28,20,54,26,1003.8,1002.4,4,6,29.1,37.4,No
No,24.9,30,0,10.6,7.1,SSE,35,SSE,SE,9,22,58,60,1003.4,1003.4,8,1,29,28.1,No
Yes,8.6,14.5,3.8,2.6,7.4,N,43,WNW,WSW,13,24,95,69,1015.3,1016.2,7,8,10.7,11.6,Yes
No,11.2,19.1,1.8,0.8,2.2,W,28,W,ESE,24,9,96,70,1026.1,1023.4,8,7,12,16.4,Yes
Yes,11.4,17.5,0,3.6,0.7,WNW,41,W,WNW,13,30,71,50,1016.3,1012.9,8,7,13.2,17,No
Yes,14.6,20.7,0.2,3.6,3.4,S,39,SW,S,24,13,65,66,1020.7,1019,7,7,17.1,18.8,No
Yes,22.6,39.4,0,23.8,8.6,NNE,85,N,N,54,50,29,17,1012.6,1007.3,6,7,29.7,38.2,No
Yes,9.9,18.1,0,5,4.8,E,35,ENE,E,11,19,66,51,1021.1,1018.6,7,7,12.2,16.8,No
Yes,14.8,28.7,0,5.2,9.7,NNW,41,N,NNW,19,15,48,24,1019.9,1014.8,2,4,20.7,27.1,No
Yes,7.8,26.4,0,3,7.2,NNW,63,ESE,E,4,31,96,43,1012.1,1002.8,8,4,10.2,23.5,No
No,16.5,25.3,0,7.4,12.8,ENE,44,SSW,ENE,7,31,68,49,1025.7,1021.8,4,1,19.8,23.8,No
No,8.4,16.2,0,1.6,7.1,S,39,WNW,S,17,20,66,45,1022.5,1021.6,1,6,11.5,16.1,No
No,10.1,19.3,0,1.4,9.3,W,43,W,W,17,19,56,35,1017.3,1015.1,5,2,12.4,19,No
Yes,21.6,31.5,29,3.2,2.7,SE,50,S,SE,13,33,77,59,1007.7,1005.4,7,7,25.6,30.2,Yes
No,11.8,20.5,5.4,6.2,9.4,SE,31,SSW,SE,6,22,83,52,1026.6,1025,5,3,16.6,19.5,Yes
Yes,9.7,14.1,7,0,0,SSE,70,S,SE,15,22,92,89,1007.4,1006.8,7,8,12.2,13.9,Yes
No,14.6,23.6,0,6.4,9.3,E,28,WNW,E,6,19,53,44,1026.3,1024.1,4,3,20.3,22.8,No
No,19.3,25.3,0,7.8,7,SE,44,S,SE,22,20,65,57,1011.8,1010.8,7,6,22.4,24.1,No
No,15.7,34.2,0,8,6.8,NW,61,NNW,NNW,17,33,39,11,1013.4,1006.5,4,5,25.3,33.4,No
No,15.8,19,0.6,3.8,2,ESE,52,ESE,ESE,26,28,69,69,1027.6,1025.7,8,8,17,17.7,No
Yes,8.9,15.6,0,1.2,0,NE,19,NE,NNE,9,6,88,75,1019.9,1018.2,7,7,11.3,14.9,No
Yes,14.5,35.6,0.6,6.8,3.3,W,83,NNE,WNW,19,30,56,14,1011.8,1004.7,7,5,20.5,34.5,No
No,22.9,33.8,0,10.2,8.9,SSW,69,WNW,NE,13,33,63,51,1015.9,1012.2,1,7,27.9,30.3,No
No,7.9,18.7,0,3.2,9.8,SW,37,SW,SW,19,22,45,29,1020.3,1019.5,1,1,14.8,18.4,No
Yes,7.7,16.1,0.2,2.1,5.2,N,74,NNE,N,39,28,40,74,1005,997.1,1,8,11.6,10.9,No
No,9.8,15.5,0,3.8,7.2,W,65,W,SSW,28,24,47,39,1017.8,1017.8,1,1,12,15.4,No
No,13.8,29.8,0,5.4,7,WNW,30,ENE,WNW,13,11,46,20,1013.7,1009.1,3,7,19.9,28.5,No
Yes,5.4,12.9,15.4,1.4,6,W,63,W,W,17,31,90,71,1000.1,1003.6,6,7,9.7,10.2,Yes
No,20.1,33.4,0,7.8,11.9,NNE,31,ENE,N,17,7,66,41,1014,1010.8,4,2,24.2,32.1,No
Yes,14.9,21.3,74.8,14.4,0,ESE,81,SE,SSE,20,19,86,86,1007.5,1007.4,8,8,16.7,19.8,Yes
No,16.4,29.9,0,8,11.1,E,37,ESE,ENE,17,17,54,31,1017.8,1013.8,1,4,22.2,28.6,No
No,8.7,22.3,0,2.6,9.2,NNE,39,WNW,NNW,17,15,57,23,1020.5,1015.6,5,1,12.6,21.4,No
No,10.6,23.8,0,4,8.2,NE,39,E,E,17,15,62,32,1030.5,1026.5,5,1,16.2,23.4,No
Yes,19.5,22,42.4,2,0,SSE,35,SE,SE,17,28,93,95,999.9,999.2,8,8,20,20.7,Yes
Yes,24.6,32.5,3.2,1.8,8.4,E,48,E,NNW,39,19,94,63,1010.7,1006.5,7,7,24.6,31.7,Yes
Yes,9.3,16.1,2.2,2.8,3.6,NW,59,N,N,33,37,72,59,1007.3,1002.9,5,7,11.5,14.8,Yes
Yes,12.3,17.3,8.2,3.8,4.5,W,63,WNW,WNW,13,24,71,71,1013.1,1011.2,7,6,13.4,14.5,Yes
Yes,23,30.8,0,7.8,2.5,W,31,NE,NNE,6,11,51,51,1015.8,1012.7,8,8,28.3,28,No
No,16.5,21.8,2.2,3.4,6.9,ENE,41,ENE,ENE,30,24,69,64,1022.8,1020,3,7,19.7,19.6,Yes
No,17.4,27.3,0,6.8,13,NNE,31,NW,NE,9,17,61,64,1004.4,1001.7,1,1,24.7,26.5,No
Yes,13.3,13.9,8.2,9.4,0,SW,26,SSW,S,13,17,97,97,1015.5,1016.4,8,8,13.5,12.6,Yes
Yes,11.5,19.7,0.2,7.2,10,SSE,54,SSW,S,26,33,46,37,1017,1017,4,6,14.5,17.1,No
Yes,21.6,26.4,3.8,5.8,0.8,SE,33,ENE,SE,11,26,91,80,1019.7,1018.7,7,6,23.9,25.7,Yes
Yes,23.6,32.2,7.8,7.2,3.7,ESE,37,SSE,ENE,13,19,92,54,1008.3,1005.4,7,7,26,31.9,Yes
Yes,10.9,21,0.4,1.2,3.5,NW,39,N,NNW,17,20,86,83,1018.9,1015.4,4,6,15,18.7,No
Yes,27.5,32.7,0,12,9.8,ENE,41,ENE,ENE,24,31,66,62,1016.5,1014,4,5,30.7,31.6,No
Yes,21.4,31.2,0,4,10.9,NNE,24,SE,NNE,13,15,69,69,1013.5,1010.6,1,2,27.8,29.6,No
Yes,25.5,30.8,0,13.2,0.7,N,63,N,N,22,26,35,83,1008.9,1008.7,7,7,28.5,22.8,No
Yes,17.1,31,0,8.8,4.3,SSW,61,NNE,SE,13,19,34,74,1010.1,1010.9,6,7,25,15.8,No
Yes,19,23.7,0,5.4,12.7,SSW,46,SSW,SSW,31,26,59,61,1008.1,1007.8,2,4,21.2,22.6,No
No,19.7,23.4,1.2,4.2,10.5,WNW,35,WNW,WNW,19,22,75,60,1011.6,1011.1,2,3,22.1,22.7,Yes
Yes,17.9,26.4,0.8,3.6,4.7,E,30,NW,ENE,9,22,89,67,1014.2,1012,7,3,21.4,25.9,No
Yes,17.7,27.2,0,5.2,10.3,SW,31,SW,SSW,6,11,78,50,1008.7,1008,5,2,20.3,24.7,No
Yes,10.8,21,0,4,0.9,NNE,37,NE,N,15,15,74,45,1023.9,1017.6,7,8,15.3,20.7,No
Yes,23.3,30,31.2,9,5.4,ESE,31,SE,NE,19,19,82,69,1012.2,1009.1,8,7,26.6,29.4,Yes
No,16,24.3,0,10.4,11.1,S,39,SSE,SW,17,13,47,25,1014.5,1012.2,1,0,17.1,23.3,No
No,9,25.8,0,4.8,11.2,NE,37,NNE,NNE,24,17,61,31,1026.6,1021.3,1,1,17.7,25.1,No
No,18.9,34.1,0,9.6,13.7,SSE,43,N,SSW,15,11,46,20,1020.5,1017.1,0,2,24.1,32.9,No
Yes,20.1,23,7.6,2.4,0,SW,56,W,SW,20,24,78,76,1010.2,1009.6,7,7,20.4,22.1,Yes
Yes,22.5,27.6,55.2,5.6,0.2,WNW,39,N,WNW,4,24,90,87,1003.1,1001.3,7,7,25.8,26.5,Yes
Yes,23,26.7,0,6.2,0,NE,24,SE,ESE,7,4,79,81,1012.7,1010.6,7,8,25.5,25.7,No
Yes,11.7,19.8,0.6,2.6,6.2,WNW,48,WNW,WNW,15,15,62,85,1013.8,1012.1,5,6,17.4,16.5,No
No,20.8,26,1,6.2,8.5,E,46,E,E,26,30,85,81,1020.5,1019.7,6,3,23.7,24.4,No
Yes,24.1,30.7,0,7.2,3.7,W,48,N,SSW,7,6,65,89,1007.9,1004.9,6,7,28.3,25.4,No
Yes,21.1,28,0,8.8,1,NNE,50,WNW,NE,9,31,72,61,1009.4,1003.3,7,7,22,26.5,No
No,9.7,20,0,3.8,3.9,WSW,33,N,N,19,19,54,42,1015.2,1011.1,6,7,15.6,19.1,No
Yes,25.2,31.9,0.2,4.8,8.6,ENE,31,ESE,N,19,4,78,74,1011,1008.3,6,7,27.9,29.3,No
Yes,-0.6,11.1,0,3,5,NNW,41,SE,N,7,26,89,78,1018.4,1015.9,7,7,3.8,5.7,No
Yes,20.9,24.3,2.4,7.8,1.1,W,43,SE,WNW,13,7,64,88,1009.1,1008.8,7,8,24.1,21.5,Yes
No,8.8,15.8,0,1,8.3,WSW,31,WSW,WSW,17,22,78,55,1014.9,1013.5,1,8,11.5,14,No
Yes,17.2,25.8,0,4.2,8.8,SW,41,NW,N,6,6,70,74,1014.5,1011.5,6,7,21.5,22.6,No
Yes,18.7,22.1,0.8,7,0,ENE,76,E,E,41,44,75,72,1012.4,1010.2,7,8,21.2,20.7,No
No,7.4,20.1,0,1.8,9.7,NNE,35,NW,NNE,9,26,67,54,1023.1,1018.2,2,8,17.5,19,No
No,14.6,19.5,9,5.4,9.8,SSW,46,SW,SW,28,28,70,57,1017.8,1017.4,4,2,16.9,18.5,Yes
Yes,12.1,18.3,1,1.4,2.7,NNE,19,NNE,NW,9,9,90,78,1015.3,1013.2,7,7,13.4,17.7,No
No,19.8,25.8,0,5.4,7,WNW,26,WNW,W,15,15,72,72,1016.7,1016.6,4,7,23.7,24.9,No
